Hospital Name,Doctor Name,Doctor Gender,Specialty,Average Cost ($),Success Rate of Hospital (%),Success Rate of Doctor (%),Hospital Rating,Location,Facilities Rating/Grade
Wellness Care,Dr. David Wilson,Female,Orthopedics,40715,92.36,84.51,3.4,Houston,A
Green Valley Medical Center,Dr. Emma White,Female,Orthopedics,21724,89.63,75.58,4.7,Chicago,A+
Green Valley Medical Center,Dr. James Lee,Male,Neurology,48269,91.67,80.22,5,Houston,C
LifeLine Hospital,Dr. Emily Davis,Male,Pediatrics,30346,92.28,84.13,3,Chicago,B
Metro Life Hospital,Dr. Emily Davis,Female,Endocrinology,16009,81.96,86.36,4.8,Philadelphia,C
Blue Shield Hospital,Dr. Emily Davis,Female,Pediatrics,5917,87.88,77.77,3.8,San Jose,A+
Sunrise Health Care,Dr. John Smith,Female,Orthopedics,44422,95.15,93.27,4.4,New York,B+
Global Medics,Dr. David Wilson,Male,Gastroenterology,49309,95.42,88.57,4.1,San Jose,C
Sunrise Health Care,Dr. Emily Davis,Male,Psychiatry,46512,93.19,77.32,2.6,San Jose,B
Metro Life Hospital,Dr. Olivia Martinez,Male,Urology,49672,98.05,97.44,4.4,Dallas,A
LifeLine Hospital,Dr. Emily Davis,Female,Oncology,15938,98.63,82.86,3,Dallas,B
Metro Life Hospital,Dr. Emma White,Female,Endocrinology,28401,81.86,92.72,3.1,Dallas,B
Wellness Care,Dr. Sophia Miller,Male,Endocrinology,32437,75.77,84.27,3.1,Dallas,A
Sunrise Health Care,Dr. Emma White,Male,Oncology,35675,80.76,91.61,3.8,Los Angeles,C
Green Valley Medical Center,Dr. Olivia Martinez,Female,Orthopedics,11796,96.83,93.71,2.9,San Jose,B
Apollo Clinic,Dr. Sophia Miller,Female,Gastroenterology,7574,87.43,95.48,3,Chicago,B
Blue Shield Hospital,Dr. Emily Davis,Male,Neurology,34699,80.66,83.82,3.9,Philadelphia,C
City Hospital,Dr. Michael Brown,Male,Oncology,17458,77.4,78.36,4.5,San Jose,C+
Apollo Clinic,Dr. Olivia Martinez,Male,Pediatrics,38963,73.41,78.79,3.4,San Jose,B
Metro Life Hospital,Dr. Michael Brown,Male,Psychiatry,20420,85.53,91.33,4.4,Phoenix,C+
Sunrise Health Care,Dr. Sophia Miller,Male,Pediatrics,28319,84.87,95.28,3.4,New York,A+
Apollo Clinic,Dr. Emma White,Female,Orthopedics,16327,72.63,76.61,4.8,Dallas,C
Blue Shield Hospital,Dr. James Lee,Female,Gastroenterology,30928,86.8,89.22,4.8,Chicago,B
Blue Shield Hospital,Dr. John Smith,Female,Gastroenterology,19138,71.63,83.89,4,Phoenix,B
LifeLine Hospital,Dr. David Wilson,Male,Urology,36415,84.09,86.38,3.5,New York,C+
Blue Shield Hospital,Dr. James Lee,Male,Dermatology,38806,70.15,82.52,4.7,San Antonio,C
